zcta10,stateco,alloc,puma10,boro,CD,pumaname,sub_boro,per_in_puma,per_of_puma
10451,36005,x,03710,Bronx,1 & 2,"Hunts Point, Longwood & Melrose",Mott Haven/Hunts Point,0.482,0.141
10452,36005,x,03708,Bronx,4,"Concourse, Highbridge & Mount Eden",Highbridge/South Concourse,0.952,0.515
10453,36005,x,03707,Bronx,5,"Morris Heights, Fordham South & Mount Hope",University Heights/Fordham,0.984,0.574
10454,36005,x,03710,Bronx,1 & 2,"Hunts Point, Longwood & Melrose",Mott Haven/Hunts Point,1,0.239
10455,36005,x,03710,Bronx,1 & 2,"Hunts Point, Longwood & Melrose",Mott Haven/Hunts Point,1,0.254
10456,36005,x,03705,Bronx,3 & 6,"Belmont, Crotona Park East & East Tremont",Morrisania/Belmont,0.491,0.264
10457,36005,x,03707,Bronx,5,"Morris Heights, Fordham South & Mount Hope",University Heights/Fordham,0.483,0.254
10458,36005,x,03706,Bronx,7,"Bedford Park, Fordham North & Norwood",Kingsbridge Heights/Mosholu,0.596,0.372
10459,36005,x,03710,Bronx,1 & 2,"Hunts Point, Longwood & Melrose",Mott Haven/Hunts Point,0.631,0.191
10460,36005,x,03705,Bronx,3 & 6,"Belmont, Crotona Park East & East Tremont",Morrisania/Belmont,0.75,0.266
10461,36005,x,03703,Bronx,10,"Co-op City, Pelham Bay & Schuylerville",Throgs Neck/Co-op City,0.483,0.212
10462,36005,x,03709,Bronx,9,"Castle Hill, Clason Point & Parkchester",Soundview/Parkchester,0.548,0.229
10463,36005,x,03701,Bronx,8,"Riverdale, Fieldston & Kingsbridge",Riverdale/Kingsbridge,0.838,0.527
10464,36005,x,03703,Bronx,10,"Co-op City, Pelham Bay & Schuylerville",Throgs Neck/Co-op City,0.971,0.038
10465,36005,x,03703,Bronx,10,"Co-op City, Pelham Bay & Schuylerville",Throgs Neck/Co-op City,0.995,0.365
10466,36005,x,03702,Bronx,12,"Wakefield, Williamsbridge & Woodlawn",Williamsbridge/Baychester,1,0.49
10467,36005,x,03706,Bronx,7,"Bedford Park, Fordham North & Norwood",Kingsbridge Heights/Mosholu,0.412,0.314
10468,36005,x,03706,Bronx,7,"Bedford Park, Fordham North & Norwood",Kingsbridge Heights/Mosholu,0.476,0.284
10469,36005,x,03704,Bronx,11,"Pelham Parkway, Morris Park & Laconia",Pelham Parkway,0.483,0.26
10470,36005,x,03702,Bronx,12,"Wakefield, Williamsbridge & Woodlawn",Williamsbridge/Baychester,1,0.111
10471,36005,x,03701,Bronx,8,"Riverdale, Fieldston & Kingsbridge",Riverdale/Kingsbridge,1,0.212
10472,36005,x,03709,Bronx,9,"Castle Hill, Clason Point & Parkchester",Soundview/Parkchester,1,0.366
10473,36005,x,03709,Bronx,9,"Castle Hill, Clason Point & Parkchester",Soundview/Parkchester,1,0.323
10474,36005,x,03710,Bronx,1 & 2,"Hunts Point, Longwood & Melrose",Mott Haven/Hunts Point,1,0.079
10475,36005,x,03703,Bronx,10,"Co-op City, Pelham Bay & Schuylerville",Throgs Neck/Co-op City,0.982,0.349
11201,36047,x,04004,Brooklyn,2,Brooklyn Heights & Fort Greene,Brooklyn Heights/Fort Greene,0.894,0.386
11203,36047,x,04010,Brooklyn,17,"East Flatbush, Farragut & Rugby",East Flatbush,0.795,0.446
11204,36047,x,04017,Brooklyn,11,Bensonhurst & Bath Beach,Bensonhurst,0.635,0.273
11205,36047,x,04004,Brooklyn,2,Brooklyn Heights & Fort Greene,Brooklyn Heights/Fort Greene,0.7,0.238
11206,36047,x,04003,Brooklyn,3,Bedford-Stuyvesant,Bedford Stuyvesant,0.464,0.282
11207,36047,x,04008,Brooklyn,5,East New York & Starrett City,East New York/Starrett City,0.491,0.297
11208,36047,x,04008,Brooklyn,5,East New York & Starrett City,East New York/Starrett City,1,0.611
11209,36047,x,04013,Brooklyn,10,Bay Ridge & Dyker Heights,Bay Ridge,1,0.565
